epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.35548852361235883,0.8322469325153374,0.8823354244232178,0.625,0.0001
2,0.2671897015505773,0.888420245398773,1.199130654335022,0.5625,0.0001
3,0.2429290420255778,0.8980061349693251,1.4053983688354492,0.5625,0.0001
4,0.22197175142498105,0.9112346625766872,1.43531334400177,0.625,0.0001
5,0.2220440833755066,0.9098926380368099,1.2601782083511353,0.625,5e-05
6,0.21006951974761998,0.9162193251533742,1.3681600093841553,0.5625,5e-05
7,0.20211755141524448,0.9175613496932515,1.2862709760665894,0.6875,5e-05
8,0.210042980916661,0.9167944785276073,1.0037490129470825,0.6875,2.5e-05
9,0.1974716236117793,0.9164110429447853,1.2842832803726196,0.625,2.5e-05
10,0.1992030242469413,0.9185199386503068,1.2956944704055786,0.625,2.5e-05
11,0.200504336620401,0.9202453987730062,1.348628282546997,0.625,1.25e-05
12,0.18910542331590244,0.9227377300613497,1.2782371044158936,0.625,1.25e-05
13,0.19491104457093164,0.9210122699386503,1.203182578086853,0.625,1.25e-05
14,0.18523859241805926,0.9254217791411042,1.2510751485824585,0.625,6.25e-06
15,0.18525861265377763,0.9244631901840491,1.2028616666793823,0.6875,6.25e-06
