epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.15669932715206242,0.9428680981595092,0.21520154178142548,0.9375,0.0001
2,0.07611455354679582,0.9725843558282209,0.21664845943450928,0.875,0.0001
3,0.06528643473120052,0.9754601226993865,0.1197122186422348,0.9375,0.0001
4,0.058170180160700816,0.9769938650306749,0.43673157691955566,0.8125,0.0001
5,0.05324411773454238,0.9802530674846626,0.34882181882858276,0.875,0.0001
6,0.04341505199207987,0.9844708588957055,0.08564310520887375,0.9375,0.0001
7,0.041610562902849535,0.9848542944785276,1.3109527826309204,0.6875,0.0001
8,0.03700756023715084,0.9846625766871165,0.23217158019542694,0.9375,0.0001
9,0.043383961849120314,0.9850460122699386,0.1611807644367218,0.9375,0.0001
10,0.020822282740560593,0.9930981595092024,0.18215014040470123,0.9375,5e-05
